,id,integralizacao,media_programacao,media_matematica,media_NE,media_NC,reprovacoes_programacao,reprovacoes_matematica,reprovacoes_NE,reprovacoes_NC,quantidade_trancamentos
0,1,0,6.55,7.3,,6.7,1.0,0.0,,1.0,1
1,1,1,5.4,5.2,3.8,5.5,6.0,1.0,1.0,7.0,1
2,1,2,4.95625,4.2,4.709090909090909,5.283333333333334,12.0,1.0,9.0,4.0,1
3,1,3,4.822222222222222,,4.466666666666666,6.028571428571429,13.0,,10.0,3.0,1
4,1,4,7.066666666666666,6.9,7.066666666666666,6.9,0.0,0.0,0.0,0.0,1
5,2,0,6.8,4.0,,6.1,1.0,1.0,,2.0,0
6,2,1,7.6000000000000005,7.2,,7.68,1.0,0.0,,1.0,0
7,2,2,5.6000000000000005,6.85,,6.016666666666667,2.0,0.0,,2.0,0
8,2,3,7.2,,6.0,7.5,0.0,,0.0,0.0,0
9,2,4,8.0,,8.95,7.933333333333333,1.0,,0.0,1.0,0
10,2,5,8.316666666666666,,8.14,9.2,1.0,,1.0,0.0,0
11,2,7,7.825,9.1,7.771428571428571,8.649999999999999,1.0,0.0,1.0,0.0,0
12,3,0,7.116666666666667,2.8499999999999996,,5.8999999999999995,2.0,2.0,,5.0,0
13,3,2,7.766666666666666,9.45,,8.440000000000001,0.0,0.0,,0.0,0
14,3,3,7.779999999999999,,7.3,7.9,0.0,,0.0,0.0,0
15,3,4,8.080000000000002,8.0,8.05,8.1,0.0,0.0,0.0,0.0,0
16,3,5,6.88,,6.875,6.9,0.0,,0.0,0.0,0
17,3,6,8.275,,8.200000000000001,8.5,0.0,,0.0,0.0,0
18,3,7,8.5,,8.6,8.475,0.0,,0.0,0.0,0
19,3,8,8.319999999999999,5.1,8.45,6.233333333333333,1.0,1.0,1.0,2.0,0
20,4,0,2.859090909090909,4.3,4.766666666666667,3.244444444444444,21.0,4.0,2.0,24.0,2
21,4,1,3.1470588235294117,5.0,2.911111111111111,3.5888888888888886,14.0,1.0,8.0,7.0,2
22,5,0,6.133333333333333,3.4,,5.449999999999999,1.0,1.0,,2.0,0
