,mse,a,integralizacao
2,0.48,"media_programacao,media_NC",0
24,0.5,"media_NC,media_programacao",0
61,0.53,"reprovacoes_NC,reprovacoes_matematica",0
47,0.7,"reprovacoes_matematica,quantidade_trancamentos",0
15,0.73,"media_matematica,quantidade_trancamentos",0
61,0.67,"reprovacoes_NC,reprovacoes_matematica",1
63,0.69,"reprovacoes_NC,quantidade_trancamentos",1
31,0.7,"media_NC,quantidade_trancamentos",1
24,0.71,"media_NC,media_programacao",1
2,0.73,"media_programacao,media_NC",1
39,0.5,"reprovacoes_programacao,quantidade_trancamentos",2
7,0.5,"media_programacao,quantidade_trancamentos",2
63,0.55,"reprovacoes_NC,quantidade_trancamentos",2
31,0.55,"media_NC,quantidade_trancamentos",2
16,0.58,"media_NE,media_programacao",2
15,0.47,"media_matematica,quantidade_trancamentos",3
12,0.49,"media_matematica,reprovacoes_matematica",3
28,0.49,"media_NC,reprovacoes_matematica",3
61,0.49,"reprovacoes_NC,reprovacoes_matematica",3
55,0.51,"reprovacoes_NE,quantidade_trancamentos",3
23,0.34,"media_NE,quantidade_trancamentos",4
55,0.35,"reprovacoes_NE,quantidade_trancamentos",4
7,0.35,"media_programacao,quantidade_trancamentos",4
39,0.37,"reprovacoes_programacao,quantidade_trancamentos",4
53,0.39,"reprovacoes_NE,reprovacoes_matematica",4
47,0.2,"reprovacoes_matematica,quantidade_trancamentos",5
15,0.2,"media_matematica,quantidade_trancamentos",5
39,0.23,"reprovacoes_programacao,quantidade_trancamentos",5
7,0.25,"media_programacao,quantidade_trancamentos",5
55,0.27,"reprovacoes_NE,quantidade_trancamentos",5
63,0.17,"reprovacoes_NC,quantidade_trancamentos",6
31,0.18,"media_NC,quantidade_trancamentos",6
23,0.21,"media_NE,quantidade_trancamentos",6
55,0.21,"reprovacoes_NE,quantidade_trancamentos",6
7,0.22,"media_programacao,quantidade_trancamentos",6
23,0.21,"media_NE,quantidade_trancamentos",7
55,0.22,"reprovacoes_NE,quantidade_trancamentos",7
39,0.25,"reprovacoes_programacao,quantidade_trancamentos",7
7,0.25,"media_programacao,quantidade_trancamentos",7
12,0.25,"media_matematica,reprovacoes_matematica",7
47,0.04,"reprovacoes_matematica,quantidade_trancamentos",8
63,0.1,"reprovacoes_NC,quantidade_trancamentos",8
31,0.1,"media_NC,quantidade_trancamentos",8
15,0.13,"media_matematica,quantidade_trancamentos",8
55,0.15,"reprovacoes_NE,quantidade_trancamentos",8
52,0.02,"reprovacoes_NE,reprovacoes_programacao",9
37,0.02,"reprovacoes_programacao,reprovacoes_NE",9
7,0.05,"media_programacao,quantidade_trancamentos",9
23,0.06,"media_NE,quantidade_trancamentos",9
30,0.06,"media_NC,reprovacoes_NC",9
60,0.0,"reprovacoes_NC,reprovacoes_programacao",10
38,0.0,"reprovacoes_programacao,reprovacoes_NC",10
26,0.0,"media_NC,media_NE",10
6,0.05,"media_programacao,reprovacoes_NC",10
3,0.05,"media_programacao,reprovacoes_programacao",10
